P53049	P09435	1
Q08949	P38089	1
P02293	P00560	1
P53199	P53043	1
P47093	P37370	1
P38922	P34730	1
P53628	P32629	1
P53628	P47050	1
Q08018	P35189	1
P41697	P38080	1
Q12199	P16140	1
Q08979	Q02884	1
Q12460	Q04411	1
P32450	P00044	1
P32565	O14467	1
P29461	P07274	1
Q01590	P11154	1
P40473	P32527	1
Q02875	P25559	1
P39958	P09232	1
P43603	P22203	1
Q12285	P40988	1
P53147	P42841	1
Q12483	P38789	1
Q03919	P25569	1
P53145	P30902	1
Q12026	P42944	1
Q99189	Q08558	1
P39076	P27614	1
Q06142	P08431	1
Q06549	P39730	1
Q08162	P06105	1
Q12447	Q07657	1
P40032	P38931	1
P32480	P25357	1
P28795	P22219	1
Q12017	P42846	1
P40956	P32573	1
P40016	P38810	1
P36107	P32501	1
P33303	P01149	1
Q06679	P17123	1
P38149	P19145	1
P38801	P07270	1
Q03957	P53067	1
P32864	P00359	1
P20438	P18963	1
P48232	P16862	1
Q04048	P35181	1
P40335	P38805	1
P45976	P38751	1
P50086	P22204	1
P38798	P32605	1
P39966	P25515	1
Q03785	P35182	1
Q07528	P32767	1
Q03012	P39966	1
P38696	P05317	1
P40517	P39940	1
P40327	P40069	1
Q04411	P32504	1
P38862	P22515	1
P53271	P26570	1
Q07786	P23293	1
Q12026	P07703	1
P25808	P21268	1
Q04964	P25644	1
Q12186	P25491	1
P53124	P32590	1
Q07915	P47104	1
Q05636	P39967	1
Q12477	P18494	1
P57743	P00546	1
P43563	P29340	1
P50277	P38874	1
Q03774	P40453	1
P51601	P38293	1
Q08217	P40007	1
P47029	P34217	1
Q05583	P53104	1
Q03308	P39727	1
Q06216	P38431	1
Q04978	P20435	1
P38873	P34216	1
Q12285	P22007	1
P21705	P06777	1
P38315	P22517	1
Q08144	Q00955	1
P53743	P09798	1
Q08119	P21243	1
Q07786	P39718	1
P30771	P12753	1
P53267	P25303	1
P53163	P22203	1
P53863	P32898	1
Q03010	P02293	1
Q04660	P41318	1
P38272	P25580	1
P43535	P12611	1
P38690	P33328	1
Q00246	P25342	1
Q02100	P38759	1
P51601	P39523	1
Q12264	P33299	1
P53211	P04912	1
P29340	P06784	1
Q06665	P38810	1
P39730	P38352	1
Q05080	P00549	1
P38590	P08153	1
Q12297	P37838	1
Q12044	P53082	1
P53600	P11484	1
P53159	P46970	1
P53283	P16140	1
P38146	P28817	1
P38798	P11927	1
Q04031	P00937	1
Q12152	P40965	1
Q00916	P32912	1
P53540	P53036	1
P49687	P32589	1
Q04491	P11075	1
P41814	P40079	1
P09435	P00958	1
P18898	P16658	1
P40483	P32074	1
Q03898	P06103	1
P32566	P30656	1
P38814	P28817	1
Q08886	Q04562	1
P39927	P32855	1
Q08245	P22219	1
P39083	P38759	1
P35691	P32349	1
P50091	P40339	1
Q00582	P47113	1
P36017	P23059	1
Q12301	P20606	1
P32642	P00175	1
P25369	P11484	1
P40479	P40160	1
Q08920	Q05785	1
P36131	P25655	1
Q08685	P36084	1
Q05670	P35169	1
P34238	P32354	1
P41834	P13711	1
Q08949	P32492	1
Q12084	P36094	1
Q06409	P53978	1
Q00245	P32458	1
Q04493	P53847	1
P47093	P32855	1
Q04651	P37370	1
P40007	P06839	1
P38692	P38690	1
P41901	P32892	1
P10964	P03069	1
Q03558	P29703	1
P25615	P24482	1
P47093	P46673	1
Q03322	P49687	1
Q08558	P40541	1
Q08162	P12688	1
Q08949	P53250	1
P39940	P38682	1
Q12330	P38774	1
Q12118	P38705	1
Q12149	Q04226	1
P05453	P05317	1
Q12344	P39742	1
Q07930	P40091	1
P53196	P38329	1
Q12390	P41834	1
P39563	P00931	1
P38697	P05318	1
P52593	P21192	1
Q06436	Q05471	1
P51534	P25454	1
P39534	P35177	1
Q12417	P13711	1
Q99189	P40965	1
P32864	P32264	1
P53628	P43593	1
Q12285	P24783	1
Q08683	P38082	1
Q06169	P38789	1
P38217	P33891	1
